"","X.1","X","business_id","name","open_2019","neighborhood","august_2017_median","stars","review_count","categories","age","american"
"370",370,401,"9virZ-ORrLHsv0p8EORxeg","""Dairy Queen""",1,"Southwest",1495,2.5,25,"Fast Food;Restaurants;Food;Desserts;Sandwiches;Ice Cream & Frozen Yogurt",1401,"0"
"371",371,403,"9wNrqTeoEepFSbFu4QLuUQ","""Rosati's Pizza""",1,"Southeast",1395,3.5,43,"Sandwiches;Chicken Wings;Restaurants;Pizza",1258,"0"
"372",372,404,"9wUIxdYz-CCpGRLu9BxJdg","""South Philly Steak & Fries""",1,"Downtown",1100,1.5,17,"Cheesesteaks;American (Traditional);Restaurants",1603,"1"
"373",373,405,"9xAQPtjOf92wLjMHPWYEpA","""Cili""",1,"Southeast",855,4,58,"Seafood;Restaurants;Venues & Event Spaces;Event Planning & Services;Wedding Planning;American (New)",4588,"1"
"374",374,407,"9xtiK1Uxc2Q76dwm6ffpmg","""Cafe Gelato""",1,"Eastside",1375,3.5,18,"Gelato;Food;Desserts;Coffee & Tea",1090,"0"
"375",375,408,"9yFqdZa0osahV6qjFJ_Saw","""Yogurtland""",1,"Spring Valley",1100,4,54,"Ice Cream & Frozen Yogurt;Food",1076,"0"
"376",376,409,"9YiQ3o0EGmtojzjXdEfgeQ","""The Green Regime""",1,"Southeast",855,4.5,56,"Salad;Restaurants;Food;Juice Bars & Smoothies;Food Stands;Sandwiches",1893,"0"
"377",377,412,"A-uZAD4zP3rRxb44WUGV5w","""Soho Japanese Restaurant""",1,"Southwest",1450,4.5,1289,"Restaurants;Sushi Bars;Asian Fusion;Japanese",2016,"0"
"378",378,413,"a09UyTP6KoaARapiMU7oJw","""Tiki's Hawaiian BBQ""",1,"Centennial",1450,4.5,48,"Hawaiian;Restaurants",635,"0"
"379",379,414,"a0v7Si0DK4cIko7AQY4YXg","""Egg Works""",1,"Spring Valley",1100,4.5,829,"Breakfast & Brunch;Restaurants;American (Traditional)",2690,"1"
"380",380,415,"A0X1baHPgw9IiBRivu0G9g","""Patisserie Manon""",1,"Westside",1400,4,642,"Food;French;Restaurants;Bakeries",3076,"0"
"381",381,416,"A1ZRCrjOMOwQGj2hCYWDEQ","""KFC""",1,"Summerlin",1872.5,1.5,38,"Chicken Wings;Restaurants;Fast Food",2775,"0"
"382",382,417,"A2pZTpFXWC38z506XIhnBQ","""Wingstop""",1,"Northwest",1330,3.5,51,"Restaurants;Chicken Wings;Fast Food",3146,"0"
"383",383,418,"a3vug2R5PvBCmzr6KU5RnA","""Tropical Smoothie Cafe""",1,"Northwest",1300,2.5,106,"Restaurants;Cafes;Food;Juice Bars & Smoothies",2424,"0"
"384",384,419,"A4yJu-Nq1n6nuLP6QKZkrw","""El Pollo Loco""",1,"Northwest",1300,2.5,53,"Mexican;Fast Food;Restaurants",2941,"0"
"385",385,420,"A5Rkh7UymKm0_Rxm9K2PJw","""Yard House""",1,"Southeast",855,4,1204,"Seafood;Sports Bars;Vegetarian;Asian Fusion;Restaurants;Cocktail Bars;American (Traditional);Bars;Nightlife;Beer Bar;American (New);Wine Bars;Steakhouses",4041,"1"
"386",386,421,"A6lKCuTrDSJ_eFKyumZCJQ","""WuHu Noodle""",1,"Southwest",1450,4,106,"Chinese;Asian Fusion;Noodles;Restaurants",1399,"0"
"387",387,422,"A81a8oV8DAxnGLY2_r8dUQ","""Tapioca Express""",0,"Eastside",855,3.5,115,"Restaurants;Juice Bars & Smoothies;Bubble Tea;Food;Coffee & Tea",1614,"0"
"388",388,423,"A9cpN5TtYvJcB25pjLxkpQ","""Subway""",1,"Summerlin",1872.5,4,26,"Fast Food;Soup;Restaurants;Sandwiches",1894,"0"
"389",389,425,"ac3laXcJnclYZAO65XAcmA","""Black Bear Diner""",1,"Southeast",1395,4,183,"Breakfast & Brunch;Restaurants;American (Traditional);Diners",722,"1"
"390",390,427,"Adfso3cOhkAfv8YXC__aqg","""Madison Avenue Bar & Grille""",1,"Eastside",1375,3.5,12,"Pizza;Restaurants;Nightlife;Bars;Burgers;Sports Bars",3161,"1"
"391",391,428,"AE-1mzUBcBuC5QkwlX24BQ","""OMG Boba Tea""",1,"Summerlin",1100,3.5,117,"Food;Coffee & Tea;Bubble Tea",2081,"0"
"392",392,430,"AES2bv2pf2jIL5c2qVQ33w","""Papa John's Pizza""",1,"Southwest",1450,2,89,"Pizza;Restaurants",3421,"0"
"393",393,431,"aEtbk_LuJREjm66jKmCQRw","""LUV Lounge""",1,"Southeast",1395,5,26,"Mediterranean;Nightlife;Bars;Restaurants;Hookah Bars;Lounges",632,"0"
"394",394,432,"aF6cB7BtV3lXQhJoLuESGw","""La Mojarra Loca""",1,"Sunrise",1000,4,41,"Mexican;Seafood;Restaurants",2804,"0"
"395",395,433,"AfL8Ds7ex73tfVbq3EFWKg","""Baja Fresh""",1,"Westside",1400,5,6,"Restaurants;Mexican",532,"0"
"396",396,434,"agGJSdMTRrkA6VrYMbC-SQ","""Volcano Grille""",1,"Spring Valley",1250,4,251,"Restaurants;Japanese",1685,"0"
"397",397,435,"aGl6ey1bOn2cqguYMIZyFw","""La Tradicion""",1,"Sunrise",1000,3.5,7,"Mexican;Restaurants",2639,"0"
"398",398,436,"AgMBY5tKMaFnFA2S6Vf22A","""Capriotti's Sandwich Shop""",1,"Spring Valley",1100,3.5,94,"Sandwiches;Restaurants",3240,"0"
"399",399,437,"AhAuNIkWtht0Fq4gEJzodA","""Wienerschnitzel""",1,"Eastside",1100,3.5,22,"Hot Dogs;Sandwiches;Restaurants;Fast Food",4393,"0"
"400",400,438,"aheCcRjiUDFUyByHdmKHpQ","""Nekter Juice Bar""",1,"South Summerlin",1872.5,4,104,"Juice Bars & Smoothies;Acai Bowls;Vegan;Restaurants;Gluten-Free;Food",1629,"0"
"401",401,439,"aHFkZDm8g27zpzydNE8OMg","""7 Sinful Subs""",1,"University",855,4.5,85,"Restaurants;Sandwiches",972,"0"
"402",402,441,"AHnvBkGTNlpAVTmg-k0Bsg","""Subway""",0,"Eastside",1100,3,7,"Restaurants;Fast Food;Sandwiches",1551,"0"
"403",403,442,"AI7zxDNVgO3pDyAP_rcA7A","""Chipotle Mexican Grill""",1,"Centennial",1350,3,97,"Restaurants;Fast Food;Mexican",3231,"0"
"404",404,443,"ai8nfTBNvL579cjIuqZajQ","""Manhattan Pizza""",1,"Westside",1400,3.5,147,"Pizza;Restaurants;Salad;Sandwiches;Desserts;Food",3730,"0"
"405",405,444,"aidcfUzZLOjWgwlxfv3UlA","""Tony Big's Pizza N Pasta""",1,"Spring Valley",1250,3,102,"Restaurants;Pizza;Italian",1418,"0"
"406",406,445,"aivNhZ9sArYQ2XHfCocHng","""Dreamland Cafe""",0,"Spring Valley",1225,5,4,"Bubble Tea;Cafes;Food;Juice Bars & Smoothies;Restaurants",551,"0"
"407",407,446,"aIyqvsWX2NPCVjW4EOTHFQ","""Flatbreadz""",1,"Southeast",855,2.5,45,"Restaurants;Sandwiches",3973,"0"
"408",408,447,"ajwGl90CuCZac3BKWY1ShQ","""McDonald's""",1,"Southeast",1395,2.5,32,"Restaurants;Fast Food;Burgers",2469,"1"
"409",409,448,"ak-f8IV0ZdDeI4oYnjA1Pw","""Habaneros Taco Grill""",1,"Spring Valley",1300,4,188,"Mexican;Restaurants;Tacos;Fast Food",1474,"0"
"410",410,450,"AKHdt0hRzX1sYZwmGzwG_A","""Fuel Café""",1,"Eastside",1375,2.5,54,"Food;Restaurants;Coffee & Tea;Cafes",2474,"0"
"411",411,451,"AL5YzikrmxwcBzBNLGO7Jw","""Fuddruckers""",1,"Spring Valley",1300,3.5,191,"Burgers;American (Traditional);Restaurants",3895,"1"
"412",412,452,"ALaBtHzn3ekGDJQoCoQgOg","""Onion Steak Sub""",1,"Northwest",1300,4,45,"Burgers;Sandwiches;Cheesesteaks;Restaurants;Steakhouses;Breakfast & Brunch;Delis",672,"1"
"413",413,453,"aME5_yvkBqKH9v0ZDubIeQ","""Baskin-Robbins""",1,"Centennial",1450,3,40,"Food;Ice Cream & Frozen Yogurt",3084,"0"
"414",414,454,"AmJ0GFlYCAap-vGYxv-OJQ","""Rocky's Bar and Grill""",1,"Southeast",1395,4,72,"Bars;Nightlife;Gastropubs;Breakfast & Brunch;American (Traditional);Restaurants",2922,"1"
"415",415,455,"aMZzd9RrRyhpuUJycefotA","""Norm's Diner""",1,"Spring Valley",1300,4.5,63,"Restaurants;Diners",862,"0"
"416",416,456,"AN0bWhisCf6LN9eHZ7DQ3w","""Los Olivos Ristorante""",1,"Eastside",1100,4.5,14,"Italian;Restaurants",609,"0"
"417",417,457,"aNe8ofTYrealxqv7VtFTuw","""Sierra Gold""",1,"Spring Valley",1100,3.5,215,"American (New);Restaurants;Pubs;Nightlife;Sports Bars;Bars;Food;Pizza;Breweries",4262,"1"
"418",418,458,"anrLWKAKm3hFLcJpbhEDUg","""IHOP""",1,"Summerlin",1550,2.5,58,"Restaurants;American (New);Coffee & Tea;Breakfast & Brunch;American (Traditional);Food",3243,"1"
"419",419,459,"AnXovUgUHJap3QaDRnjL1w","""Blueberry Hill Family Restaurant""",1,"Eastside",1100,4,331,"Breakfast & Brunch;Diners;American (New);Restaurants",4614,"1"
"420",420,460,"Apkr-qykgpUI5ltIw7B-7Q","""Stake Out Bar & Grill""",1,"University",855,4,113,"Restaurants;Nightlife;Pubs;Sandwiches;Sports Bars;American (New);Bars;Salad",4448,"1"
"421",421,461,"aQ222ydz_GSRZV66xNt4kQ","""Sen of Japan""",1,"Westside",1400,4.5,441,"Restaurants;Japanese;Sushi Bars",4447,"0"
"422",422,463,"ars2tzN-u21FuTwuxAMkVQ","""Lilly's Thai & Vietnamese Restaurant""",0,"Westside",1400,4,88,"Thai;Restaurants;Food;Vietnamese",1767,"0"
"423",423,464,"Asy49gKgikq_NkYsC_7c0Q","""Capriotti's Sandwich Shop""",1,"Southwest",1495,2.5,90,"Restaurants;Sandwiches",3019,"0"
"424",424,465,"ATGZLAWudXt5hQXQ1AVGDQ","""SG Bar""",1,"Spring Valley",1300,3.5,111,"Sports Bars;American (New);Bars;Nightlife;Restaurants",935,"1"
"425",425,466,"atVh8viqTj-sqDJ35tAYVg","""Beach Cafe""",1,"Southwest",1450,3.5,269,"Restaurants;Breakfast & Brunch;Burgers;Diners",4319,"1"
"426",426,467,"aTvmLm3YfTs_L290fEolEw","""Ori'Zaba's Scratch Mexican Grill""",1,"Southeast",1300,3,61,"Restaurants;Mexican",1476,"0"
"427",427,468,"aUb0maIrZ-rdnvod1r7Umg","""Little Caesars Pizza""",1,"Eastside",1100,2.5,22,"Pizza;Restaurants",4393,"0"
"428",428,469,"AUl6myFhTAbEqt0GMdKHiw","""Chipotle Mexican Grill""",1,"Spring Valley",1100,3,149,"Fast Food;Mexican;Restaurants",3336,"0"
"429",429,470,"AUOlDSQ8R2wIkN4lQ4kVDg","""Lima Limon""",1,"Westside",1100,4,206,"Chicken Wings;Peruvian;Restaurants;Seafood",2337,"0"
"430",430,471,"AurgTYGyCItvvgFp9NQBag","""Subway""",1,"Northwest",1300,2.5,11,"Restaurants;Sandwiches;Fast Food",3255,"0"
"431",431,472,"AVA3AwMEHfLY9anV3WgDXA","""El Pollo Loco""",1,"Southwest",1100,2.5,87,"Restaurants;Chicken Wings;Mexican;Fast Food",2448,"0"
"432",432,473,"avBS62WEvwWyoDWBXAlxmg","""Subway""",1,"Southeast",1100,4.5,11,"Food;Restaurants;Sandwiches;Fast Food",3172,"0"
"433",433,474,"aVmuRwieNxpW8vfC3s1jpg","""Sierra Gold""",1,"Summerlin",1100,3.5,80,"Gastropubs;American (New);Sports Bars;Bars;Restaurants;Venues & Event Spaces;Nightlife;Pubs;Event Planning & Services",2452,"1"
"434",434,475,"AVXw5x9Sg-jD5EVcvpxrQA","""Burger King""",1,"Southeast",855,2,63,"Burgers;Fast Food;Restaurants",3972,"1"
"435",435,478,"axfGq2ooUSB9MpL1RQTmeQ","""Panda Express""",1,"Southeast",1395,2.5,36,"Restaurants;Fast Food;Chinese",2942,"0"
"436",436,479,"axJFWAeEJ-kRs8LFy8ow1A","""Cafe Hookah""",1,"University",855,3.5,3,"Restaurants;Bars;Mediterranean;Nightlife",4427,"0"
"437",437,480,"AYe8rS3qBPuLHSwNOZSbcA","""Sushi Loca""",1,"South Summerlin",1872.5,3,229,"Food;Sushi Bars;Restaurants",1613,"0"
"438",438,481,"aYfHXWNjLNUVoQa5CMA2jg","""The Juice Standard""",1,"Spring Valley",1300,4.5,205,"Juice Bars & Smoothies;Food;Restaurants",1868,"0"
"439",439,482,"AyKOSCyaPb7x8a9gqZ0z2A","""Subway""",1,"Centennial",1450,2.5,11,"Sandwiches;Fast Food;Restaurants",1881,"0"
"440",440,483,"ayT30_GPYHqnrDhBe3IySQ","""Life Cafe""",1,"Summerlin",1872.5,3,7,"Restaurants;Cafes",1754,"0"
"441",441,484,"aYyj9OdH059CoEXadmldXA","""Bonsai Japanese Steak & Sushi""",1,"Southwest",1250,4,197,"Teppanyaki;Japanese;Steakhouses;Sushi Bars;Restaurants",916,"1"
"442",442,485,"AZlnpvILz5cEWJifjr2CSQ","""Roma Deli II and Wine Shop""",1,"Westside",1400,4,142,"Restaurants;Italian;Delis",3617,"0"
"443",443,486,"AZRUB9twDxhm3JYicAw0NA","""U-Swirl Frozen Yogurt""",1,"Sunrise",1000,3,41,"Ice Cream & Frozen Yogurt;Food",3157,"0"
"444",444,487,"AztVIokc5VtP4m8r6kSnWw","""Subway""",0,"Southwest",1450,2,8,"Fast Food;Sandwiches;Restaurants",3225,"0"
"445",445,488,"azxeH9W14hzFnZyuOm8JdQ","""Chophouse & Brewery""",1,"Southeast",855,3,178,"Sports Bars;Nightlife;Bars;Restaurants;Steakhouses",2420,"1"
"446",446,490,"b1Dfmn7cmXU3GnlpNHnH7A","""Philly Steak and Pizza Express""",1,"Southeast",1395,2,4,"Restaurants;Pizza;Steakhouses",2949,"1"
"447",447,491,"b1hmyz3gxWdhuWKkSdk3Ug","""Clamato's & Beer""",1,"Eastside",855,2.5,3,"Restaurants",708,"0"
"448",448,492,"b1WGIdd_oSwGYZtC769Shw","""Rachel's Kitchen""",1,"Centennial",1350,3.5,303,"Breakfast & Brunch;Sandwiches;Restaurants;Food;Juice Bars & Smoothies;American (New)",2127,"1"
"449",449,493,"B1X-D4mRW3VjNUUolPDItA","""Mr Beijing""",0,"Eastside",855,3.5,173,"Restaurants;Barbeque;Chinese;Vegetarian",3702,"0"
"450",450,494,"b27YujiIUpypBuxX2nn0zw","""Starbucks""",1,"The Lakes",1400,3,47,"Food;Coffee & Tea",2897,"0"
"451",451,495,"b48IZPvY6MQO8MXK3uCNCQ","""Village Pub & Poker""",1,"Southeast",1300,4,33,"Nightlife;Arts & Entertainment;Casinos;Bars;Food;Breweries;American (Traditional);Restaurants;Pubs",3967,"1"
"452",452,496,"b4a9xvX1LtwcZx6a5SiFVw","""Port of Subs""",1,"Southeast",1395,4,31,"Sandwiches;Restaurants;Delis;Salad",2697,"0"
"453",453,497,"B4zX3o9Qehq-cibq05FTcA","""Auntie Anne's""",1,"Southeast",855,3,38,"Food;Pretzels;Restaurants;Food Stands",3772,"0"
"454",454,498,"b5uCtk5iUcdeSWBNAx40Ug","""PT's""",1,"Southeast",855,3.5,19,"American (New);Restaurants;Sports Bars;Bars;Pubs;Nightlife",3138,"1"
"455",455,499,"B5VHqG8yQIC-WWcZvscTbQ","""Juice Bar At LVAC""",1,"Spring Valley",1300,3,34,"Juice Bars & Smoothies;Food",3173,"0"
"456",456,502,"B89xU39A243rNNoQpcCKYA","""Avery's Coffee Roasters""",1,"Westside",1400,4.5,181,"Coffee & Tea;Food",2023,"0"
"457",457,503,"B8Wqz8w7kKvMjZIbr2yUZg","""The Spot to Eat""",1,"Southwest",1450,4,3,"Food;Restaurants;Food Trucks;Burgers",2061,"1"
"458",458,504,"b9lGo4hvKBFravd3iSNN9g","""Starbucks""",1,"Centennial",1330,3,17,"Coffee & Tea;Food",2953,"0"
"459",459,505,"bAdwf-n52f46-ZjlfJ1Hwg","""Roberto's Taco Shop""",1,"Centennial",1330,2.5,26,"Fast Food;Mexican;Restaurants",1097,"0"
"460",460,506,"BB-Ab0rwYk6aclOn9SMVmg","""Blue Dogs Pub""",1,"Eastside",1100,3.5,15,"Nightlife;Dive Bars;Restaurants;American (Traditional);Bars",3308,"1"
"461",461,508,"BCAw9a_kyx2RddRH9tMmKQ","""Mr. Lucky's 24-7""",1,"Eastside",1375,3.5,802,"Restaurants;American (Traditional);Diners",4934,"1"
"462",462,509,"BcW7Z9lPmOB_8eS2lEuOqQ","""Musashi Japanese Steakhouse""",1,"Eastside",1375,4,596,"Steakhouses;Restaurants;Sushi Bars;Japanese",4122,"1"
"463",463,510,"bDvLiWHaZOPk18p958xLOQ","""Scoops""",1,"Sunrise",995,3.5,5,"Food;Ice Cream & Frozen Yogurt",1710,"0"
"464",464,512,"BEtgRzNeXGAf0uQ-HuSyfA","""Ohjah Noodle House""",1,"Spring Valley",1250,4.5,294,"Japanese;Restaurants;Ramen;Noodles",852,"0"
"465",465,513,"BfBl4TKaTrfrZY-yGSB1jQ","""Johnny Rockets""",1,"Westside",1100,3.5,56,"American (Traditional);Diners;Sandwiches;Restaurants;Burgers",3618,"1"
"466",466,514,"bffQssCZ-KpA_PPIu6Vysg","""Chuck E Cheeses""",1,"Sunrise",1000,2.5,18,"Pizza;Restaurants",1776,"0"
"467",467,515,"bFUWmRKsCkborKVe6oaA5g","""Jack in the Box""",1,"Northwest",1300,3,22,"Burgers;Restaurants;Fast Food",2925,"1"
"468",468,516,"bfY7lYQWOg1UosYbJQceAw","""Carl's Jr""",1,"Southeast",1195,2,12,"Restaurants;Fast Food;Burgers",1803,"1"
"469",469,517,"bgXb5YYzQvHXmM8owZB4fQ","""Wolfgang Puck Bar & Grill Summerlin""",1,"South Summerlin",1872.5,3.5,256,"Sandwiches;Pizza;American (Traditional);Nightlife;Salad;Restaurants;Bars;Seafood",1622,"1"
"470",470,518,"bHFBYlFZfJSJ7_Irns2KZw","""Viva Café""",1,"Eastside",1375,4.5,17,"Cafes;Bagels;Sandwiches;Restaurants;Food;Coffee & Tea;Tea Rooms;Juice Bars & Smoothies",2209,"0"
"471",471,520,"BhueLLvA0k9G1Lr0WeZX9w","""Cafe Zupas""",1,"Spring Valley",1100,3.5,260,"Restaurants;Soup;Sandwiches;Salad",1214,"0"
"472",472,521,"BIbjBxoiJLS8CnNsSP64TQ","""360 Gourmet Burrito""",1,"Southeast",855,1.5,139,"Mexican;Restaurants",3672,"0"
"473",473,522,"biFv9mXsP0V4omBUy1Z-MA","""Pizza Hut""",1,"Westside",1400,3,34,"Restaurants;Chicken Wings;Pizza;Italian",2806,"0"
"474",474,523,"BIwjYT9nqbkF7kbzne-tmQ","""Wolfgang Puck Express""",1,"Southeast",855,2,3,"Restaurants;Food;American (New)",1387,"1"
"475",475,524,"BjPph9SbmEfox2vip326PQ","""Brooksy's Bar & Grill""",1,"Spring Valley",1300,4,82,"Restaurants;Sports Bars;Bars;Nightlife;Event Planning & Services;American (Traditional);Caterers",2939,"1"
"476",476,525,"BjrKNWhtQkedHw8hP_0Bjg","""Umami""",1,"Centennial",1350,4.5,226,"Restaurants;Sushi Bars;Asian Fusion;Japanese",825,"0"
"477",477,526,"bK70PtUK5nGGLzP7tChaeg","""Putter's Bar & Grill""",1,"Eastside",1100,3.5,21,"Bars;Lounges;Nightlife;American (Traditional);Restaurants",4428,"1"
"478",478,527,"bKbYRUZKDYonSPOjzchJJg","""Veggie Delight""",0,"Chinatown",1225,4,246,"Restaurants;Vegan;Vegetarian",4340,"0"
"479",479,528,"BKg8YIGX_5YyUczmBAyyCQ","""China Passion""",1,"Sunrise",1100,4.5,77,"Chinese;Soup;Food Delivery Services;Food;Restaurants",1044,"0"
"480",480,529,"bKkg_SW-lWU2XDNVodksOg","""Menchie's Frozen Yogurt""",1,"Sunrise",1000,4.5,34,"Custom Cakes;Ice Cream & Frozen Yogurt;Food;Desserts",1532,"0"
"481",481,530,"blBZJ_UbVb2ieOcktYRuZg","""Smashburger""",1,"Southeast",1395,4,155,"Fast Food;Burgers;Restaurants",2067,"1"
"482",482,531,"bLieCqMMt4la2i8M2v1TUg","""Jersey Mike's Subs""",1,"Southeast",1450,3.5,37,"Restaurants;Fast Food;Sandwiches;Delis",2212,"0"
"483",483,532,"Bm8nRUsZ-dK6g2eJLxMTOw","""Naka Sushi""",1,"Summerlin",1100,4,333,"Sushi Bars;Japanese;Restaurants",2627,"0"
"484",484,533,"BMAflH82OUIMl2mHtP0MNQ","""Bonanno's New York Pizzeria""",1,"South Summerlin",1872.5,3.5,69,"Restaurants;Pizza",1481,"0"
"485",485,534,"bMchstbw4IPp19vpERj8cA","""Antique Mall of America""",1,"Southeast",1395,3.5,58,"Antiques;Shopping;Restaurants",4068,"0"
"486",486,535,"bMZBkFrTI6uSYQB6XYnvnw","""Fogo de Chão Brazilian Steakhouse""",0,"South Summerlin",1872.5,4,227,"Steakhouses;Restaurants;Brazilian;Seafood",1260,"1"
"487",487,536,"BndplCo6DSSIUSP5wOEF0w","""LULU Hawaiian BBQ 2""",1,"Centennial",1350,3.5,65,"Hawaiian;Seafood;Restaurants;Barbeque",891,"0"
"488",488,537,"BnpuVvPy3sfLlkqKCx6Xnw","""Grand Cafe""",1,"South Summerlin",1872.5,2.5,329,"Restaurants;Wine Bars;Nightlife;Cafes;Breakfast & Brunch;Burgers;Bars;American (Traditional)",4301,"1"
"489",489,539,"BOQOuwSNhfKx1xvKtONsBg","""Settebello Pizzeria Napoletana""",1,"Westside",1400,4,329,"Pizza;Italian;Restaurants",2004,"0"
"490",490,540,"bQEy8J4a1mWyuPIuiIzBMg","""Starbucks""",1,"The Strip",1225,2.5,8,"Coffee & Tea;Food",1559,"0"
"491",491,541,"BQKPbuILIAG53XtIZ51s5Q","""Original Tommy's Hamburgers""",1,"Northwest",1300,3.5,120,"Restaurants;Food;Burgers",2028,"1"
"492",492,542,"BqXuk5peVO-lIovXCv9CyQ","""Veggy Street""",1,"Spring Valley",1475,4.5,28,"Gluten-Free;Fast Food;Vegetarian;Restaurants;Sandwiches;Vegan",574,"0"
"493",493,543,"bRR4gsjHv0F_RnRGjQBqlg","""CJ's Italian Ice & Custard""",1,"Spring Valley",1300,4,220,"Ice Cream & Frozen Yogurt;Restaurants;Food;Desserts;Italian",2566,"0"
"494",494,544,"BS2Y5IZiCOHBebHMEU2dEQ","""Claim Jumper""",0,"Eastside",1375,3.5,9,"Burgers;Bars;Restaurants;Nightlife;American (Traditional)",550,"1"
"495",495,545,"BSDKbSLFO3CP-uhfcuUCkA","""Dave & Buster's""",1,"South Summerlin",1872.5,3,356,"Sports Bars;Eatertainment;Arts & Entertainment;Bars;Arcades;Nightlife;American (Traditional);Restaurants",982,"1"
"496",496,546,"BSGy3c4voXZ5ntOi2fJwjg","""Panini Cafe""",1,"The Lakes",1400,4,62,"Sandwiches;Restaurants;Kosher",4054,"0"
"497",497,547,"bUEc1ZDgfZPymHyUXEiiNg","""Roberto's Taco Shop""",1,"Downtown",1100,3.5,51,"Mexican;Fast Food;Restaurants",2614,"0"
"498",498,548,"BuHbMNbCQzzYi-3Y5w1c4Q","""The Habit Burger Grill""",1,"Eastside",1375,4.5,231,"Restaurants;Burgers",1348,"1"
"499",499,549,"buk0wVdm_42901qeVIoTrg","""The Lunch Crew Catering""",1,"Westside",1100,2,4,"Restaurants;Event Planning & Services;Italian;American (New);Caterers",1012,"1"
"500",500,550,"BUoV8s0j22KD_PzLm8BlkA","""Salcianu Bistro""",1,"Eastside",855,4.5,3,"American (Traditional);Restaurants",1830,"1"
"501",501,551,"burnDlH36FSphvf4vQf10w","""Sushi Tower & Steakhouse""",1,"Spring Valley",1300,4,179,"Sushi Bars;Restaurants;Steakhouses",4001,"1"
"502",502,553,"bvGdqJ-SeGdIHX-HEabwlg","""North Beach Italian Bistro""",0,"Northwest",1350,4.5,200,"Restaurants;Breakfast & Brunch;Italian;Seafood",1759,"0"
"503",503,554,"bvtck6zoM3bJVJyucDB0yQ","""Alexis Cafe""",1,"Eastside",1375,2.5,14,"Restaurants;American (Traditional)",3707,"1"
"504",504,555,"bw_bCNXNBrgarlmrgURkoA","""Wendy's""",1,"Sunrise",1000,2.5,19,"Restaurants;Fast Food;Burgers",2890,"1"
"505",505,556,"BWrdSeWCWKVQQGnJC2oyrQ","""Starbucks""",1,"Centennial",1350,3,86,"Coffee & Tea;Food",3303,"0"
"506",506,557,"bxQUVVI8LR5RmyTYYJq07A","""Pearl Wok To Go""",1,"Westside",1400,3.5,101,"Restaurants;Chinese",4071,"0"
"507",507,558,"bY5f0CV5u3L1b7bGuNUA8A","""El Toque Del Sabor""",1,"Southeast",1100,4.5,41,"Restaurants;Peruvian;Nightlife;Bars",1210,"0"
"508",508,559,"BYKdkOGUGDsuYV9XW4_RGA","""Little Havana Cafe and Smoke Shop""",1,"Southeast",1395,5,22,"Food;Coffee & Tea;Shopping;Tobacco Shops",2565,"0"
"509",509,560,"bymQ0lRnBar5scP4FERioQ","""Mulligan's Border Bar & Grill""",1,"Southeast",1395,4,44,"Restaurants;Nightlife;American (Traditional);Bars;American (New)",3229,"1"
"510",510,561,"ByXko9JQ6Jne7v8t4IaQjg","""McDonald's""",1,"Southwest",1450,1.5,69,"Food;Burgers;Restaurants;Fast Food",2116,"1"
"511",511,562,"bzI2YREsxDomhVvvaZmcSw","""Sammy's Woodfired Pizza and Grill""",1,"Spring Valley",1250,4,229,"Pizza;Salad;Restaurants;Gluten-Free",3702,"0"
"512",512,563,"BZSzoBFhkXBUQTx4Cgl5Aw","""Coco's Bakery Restaurant""",1,"Eastside",855,4,281,"Food;American (Traditional);Restaurants;Bakeries",3396,"1"
"513",513,564,"bzyoY6HHZJS39fspg-6DrA","""Dickey's Barbecue Pit""",1,"Southeast",1395,3.5,238,"Caterers;Restaurants;Barbeque;Event Planning & Services",3681,"0"
"514",514,565,"c_3abcaptUG0d4A4LWMe7w","""Carl's Jr.""",1,"Centennial",1350,2.5,38,"Restaurants;Fast Food",2735,"0"
"515",515,566,"c-NXKTJ0jrrusTPxJAUwvA","""Red Robin Gourmet Burgers""",1,"South Summerlin",1872.5,2.5,237,"Restaurants;American (Traditional);Burgers",1617,"1"
"516",516,567,"c0LlClom1qONqByoagqPGw","""Las Islitas""",1,"Sunrise",1095,4,16,"Mexican;Seafood;Restaurants",1761,"0"
"517",517,568,"c1JoHp602zilpDU_57DsMg","""Starbucks""",1,"The Strip",855,2,49,"Coffee & Tea;Food",2508,"0"
"518",518,569,"C1jQ5CbszJkS_cyWgaRVGQ","""Swish""",1,"Westside",1400,3.5,179,"Restaurants;Hot Pot;Japanese;Sushi Bars",3445,"0"
"519",519,570,"C2tt_-1YE4X2T7azXEF7IQ","""Costco Food Court""",1,"Centennial",1450,4.5,20,"Fashion;Restaurants;Department Stores;Food Court;Shopping",2338,"0"
"520",520,571,"C5azlhXSTOlqVAM3nl95nw","""Oasis Asian Kitchen""",1,"Spring Valley",1300,4.5,133,"Thai;Restaurants;Asian Fusion;Chinese;Food;Vegetarian",2038,"0"
"521",521,573,"c5TOGBUCCUUNBPM7h_KbmQ","""Fausto's Mexican Grill""",1,"Southwest",1450,4,140,"Restaurants;Chicken Wings;Breakfast & Brunch;Mexican",3926,"0"
"522",522,574,"C74ViML3zx1akYVafLaiXQ","""Buffet  Asia""",1,"Southeast",1300,2.5,282,"Restaurants;Japanese;Chinese;Buffets",4703,"0"
